2011-01-25 17:23:14 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:23:14 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:24:24 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:24:24 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:25:03 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:25:03 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:25:06 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:25:06 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:25:25 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:25:25 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:25:27 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:25:27 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:26:13 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:26:13 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:26:48 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:26:53 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:27:07 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:27:59 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:30:14 Notice: Notice (8): Undefined variable: user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 12]
2011-01-25 17:30:54 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-26 16:46:13 Notice: Notice (8): Undefined variable: user_mail in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/users_controller.php, line 65]
2011-01-26 16:50:09 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-26 16:53:30 Notice: Notice (8): Undefined variable: tittle1 in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 28]
2011-01-26 16:53:30 Notice: Notice (8): Undefined variable: tittle2 in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 54]
